"Site","SupplierCode","SupplierName","DistinctSDPatterns","DistinctTransportDays","ActivePOLineCount","ModalSDPattern","ModalTransportDays","HasInternalInconsistency"
"2798","1525","ADIENT INNOTEC METAL","0","2","5","","5.0000000000","YES"
"2798","2171","ADIENT SLOVAKIA s.r.o.","0","3","89","","2.0000000000","YES"
"2798","2352","ADIENT Ltd. & Co. KG","0","3","147","","7.0000000000","YES"
"2798","2354","ADIENT SEATING DOOEL STIP","0","1","1","","0.0000000000","NO"
"2798","2359","TRIM Strumica PRINCIPAL","0","1","2","","0.0000000000","NO"
"2798","2848","ADIENT LTD & CO. KG","0","3","30","","2.0000000000","YES"
"2798","300024","Boxmark Leather GmbH & Co Kg","0","1","2","","0.0000000000","NO"
"2798","300179","Amann und Soehne GmbH und Co","0","2","80","","7.0000000000","YES"
"2798","300216","AUNDE Achter & Ebels GmbH","0","4","22","","7.0000000000","YES"
"2798","300246","Benecke-Kaliko AG","0","1","6","","5.0000000000","NO"
"2798","300256","Giebeler GmbH","0","1","2","","7.0000000000","NO"
"2798","300280","NEDSCHROEF Altena","0","1","1","","0.0000000000","NO"
"2798","300315","Scherdel GmbH","0","1","1","","7.0000000000","NO"
"2798","300468","ROWA","0","1","7","","0.0000000000","NO"
"2798","300603","Lubke and Vogt GmbH and Co K","0","1","1","","0.0000000000","NO"
"2798","300854","Straehle and Hess GmbH","0","3","3","","0.0000000000","YES"
"2798","301035","MAO Automotive GmbH & Co. KG","0","1","2","","7.0000000000","NO"
"2798","301172","Zendaleather GmbH","0","1","1","","7.0000000000","NO"
"2798","302188","Ideal Automotive GmbH","0","1","1","","0.0000000000","NO"
"2798","302302","Uniroyal Global Ltd.","0","2","20","","0.0000000000","YES"
"2798","302583","Herbert Kneitz GmbH","0","1","4","","0.0000000000","NO"
"2798","302798","Aunde Poland sp. z.o.o.","0","1","27","","0.0000000000","NO"
"2798","305389","Sinflex Industria de Molas","0","2","2","","5.0000000000","YES"
"2798","305865","LISI Automotive Knipping VT ","0","2","3","","5.0000000000","YES"
"2798","306180","HIGA s.r.o","0","2","30","","0.0000000000","YES"
"2798","307267","Tekstilna Tovarna Okroglica ","0","2","5","","0.0000000000","YES"
"2798","308202","Gueth & Wolf GmbH","0","1","1","","0.0000000000","NO"
"2798","308237","Tuchfabrik Willy Schmitz Gmb","0","1","6","","5.0000000000","NO"
"2798","309260","Oke Automotive GmbH & Co.KG","0","2","16","","7.0000000000","YES"
"2798","309367","Alcantara Spa","0","1","27","","0.0000000000","NO"
"2798","309493","NEVEON Germany GmbH","0","1","1","","0.0000000000","NO"
"2798","310099","Velcro GmbH","0","3","13","","0.0000000000","YES"
"2798","310412","ASV vyrobni druzstvo","0","1","3","","0.0000000000","NO"
"2798","311867","Muller Textiles Slovakia s.r","0","1","4","","0.0000000000","NO"
"2798","314426","YKK Stocko Fastener GmbH","0","1","4","","0.0000000000","NO"
"2798","314538","Snezka v.d.","0","2","66","","0.0000000000","YES"
"2798","314552","AUNDE FRANCE","0","1","1","","4.0000000000","NO"
"2798","314573","Kneitz Wilhelm AG","0","1","4","","0.0000000000","NO"
"2798","314592","Lisi Automotive Mecano GmbH","0","1","1","","0.0000000000","NO"
"2798","317032","Plama-pur d.o.o.","0","2","2","","0.0000000000","YES"
"2798","317067","Eagle Ottawa Hungary Kft.","0","2","11","","0.0000000000","YES"
"2798","320523","Kasko spol s.r.o.","0","1","9","","0.0000000000","NO"
"2798","320746","Mario Levi SPA","0","2","4","","7.0000000000","YES"
"2798","320907","COBA AUTOMOTIVE SRO","0","3","147","","0.0000000000","YES"
"2798","320951","Dual Borgstena Textil Portug","0","3","40","","7.0000000000","YES"
"2798","321000","Retex a.s.","0","1","6","","0.0000000000","NO"
"2798","321825","Aunde Italia spa","0","2","95","","0.0000000000","YES"
"2798","322402","Arrotex NV","0","1","13","","0.0000000000","NO"
"2798","322410","Benecke-Kaliko S.A.U.","0","1","6","","0.0000000000","NO"
"2798","322413","S.A.S. JOUBERT FRANCE AMBERT","0","1","1","","0.0000000000","NO"
"2798","322421","Texno SRL","0","1","5","","0.0000000000","NO"
"2798","322425","YKK Portugal","0","1","1","","0.0000000000","NO"
"2798","322674","Diniz Adient Oto Donanim San","0","1","1","","0.0000000000","NO"
"2798","324587","MIKO SRL","0","2","5","","0.0000000000","YES"
"2798","325184","TMG - T.P.e O.R.para a I.A. ","0","2","9","","0.0000000000","YES"
"2798","325834","Franz Barta GmbH","0","1","1","","7.0000000000","NO"
"2798","326093","zwissTEX Germany GmbH","0","2","2","","7.0000000000","YES"
"2798","327359","FILC d.o.o.","0","1","1","","3.0000000000","NO"
"2798","327521","Leoni Wiring Systems UK Ltd","0","1","1","","0.0000000000","NO"
"2798","329804","Vulcaflex  S.p.A","0","2","28","","5.0000000000","YES"
"2798","331567","OKE Plastic SK, s.r.o.","0","2","69","","0.0000000000","YES"
"2798","335747","Kolon Glotech Inc.","0","1","16","","2.0000000000","NO"
"2798","336060","EMKA Sealing Systems SL","0","1","1","","0.0000000000","NO"
"2798","336062","Milliken Industrials Ltd.","0","1","8","","0.0000000000","NO"
"2798","337107","KARTEX - VL, s.r.o.","0","1","7","","0.0000000000","NO"
"2798","337797","Raymond A. Jablonec, s.r.o.","0","2","2","","5.0000000000","YES"
"2798","338424","RABUGINO SP. Z o.o.","0","1","1","","0.0000000000","NO"
"2798","338441","JM PARTNERS.CZ","0","3","26","","0.0000000000","YES"
"2798","338458","Etisoft Sp.z o.o.","0","3","4","","0.0000000000","YES"
"2798","338468","GABEC Sp z o o","0","1","1","","0.0000000000","NO"
"2798","338634","Pallas Bohemia s.r.o.","0","1","12","","0.0000000000","NO"
"2798","338888","Howe & Co. Pty. Ltd.","0","2","9","","0.0000000000","YES"
"2798","338953","TMG Automotive","0","4","39","","7.0000000000","YES"
"2798","339788","Texla a.s.","0","1","1","","0.0000000000","NO"
"2798","340290","Stokvis Promi s.r.o.","0","1","1","","0.0000000000","NO"
"2798","340527","STAP a.s.","0","2","9","","0.0000000000","YES"
"2798","341170","KOSTELAR d.o.o.","0","2","13","","2.0000000000","YES"
"2798","344503","BADER Polska Sp. z.o.o.","0","1","112","","0.0000000000","NO"
"2798","345149","Italthierry Auto Leather","0","1","1","","0.0000000000","NO"
"2798","345725","JUTA a.s.","0","1","1","","0.0000000000","NO"
"2798","347279","Copo Textil Portugal, S.A","0","1","4","","0.0000000000","NO"
"2798","349772","ORSA-MOTO Sp.z o.o.","0","1","2","","0.0000000000","NO"
"2798","349842","Polydesign Systems S.A.R.L.","0","1","8","","0.0000000000","NO"
"2798","352346","AE-Plasztik ZRt.","0","2","15","","5.0000000000","YES"
"2798","353482","RUBA FERMUAR VE PRES DOKUM","0","4","13","","0.0000000000","YES"
"2798","353490","Toiltech SAS","0","1","1","","0.0000000000","NO"
"2798","353538","MIEL d.o.o.","0","1","1","","3.0000000000","NO"
"2798","353927","Sage Diniz Otomotiv San ve T","0","1","6","","0.0000000000","NO"
"2798","354340","TR Holland","0","2","5","","7.0000000000","YES"
"2798","355260","Tesca ERT Romania SRL","0","1","1","","0.0000000000","NO"
"2798","355399","Fremach Izegem NV","0","1","8","","7.0000000000","NO"
"2798","355544","CGR Polska Sp. Z.o.o","0","1","1","","0.0000000000","NO"
"2798","356583","GERGONNE SLOVENSKO s.r.o.","0","2","7","","0.0000000000","YES"
"2798","356999","BADER INTERNATIONAL","0","2","13","","5.0000000000","YES"
"2798","357177","YKK Poland SP Zoo","0","2","20","","0.0000000000","YES"
"2798","359007","Couro Azul SA","0","1","1","","3.0000000000","NO"
"2798","361589","J.H. Ziegler GmbH","0","1","1","","0.0000000000","NO"
"2798","361594","Elmo Sweden AB","0","1","5","","0.0000000000","NO"
"2798","362343","SIOEN FABRICS CALENDERING","0","3","10","","10.0000000000","YES"
"2798","362833","ITECO SPOL S.R.O.","0","1","4","","0.0000000000","NO"
"2798","363586","SteelCo.Tech GmbH","0","1","4","","7.0000000000","NO"
"2798","364653","Yoolim Industrial Co., Ldt.","0","1","5","","14.0000000000","NO"
"2798","366654","tesa tape Kft.","0","4","8","","0.0000000000","YES"
"2798","366723","Mueller Technik Koszalin Sp.","0","1","2","","10.0000000000","NO"
"2798","368067","Baumann Springs s.r.o.","0","2","2","","7.0000000000","YES"
"2798","368854","YKK METAL VE PLASTIK URUNLER","0","1","5","","0.0000000000","NO"
"2798","369008","PARAPLAST D.O.O.","0","2","4","","2.0000000000","YES"
"2798","369145","Baumann GmbH","0","1","1","","5.0000000000","NO"
"2798","369391","Global Enterprises Int, SRL","0","2","82","","0.0000000000","YES"
"2798","369531","SteelCoTech Wilnsdorf GmbH","0","1","1","","5.0000000000","NO"
"2798","370003","CGR Veynes","0","4","6","","5.0000000000","YES"
"2798","370144","Sage Automotive Interiors Po","0","1","15","","0.0000000000","NO"
"2798","372983","Metaplast SRL","0","2","10","","5.0000000000","YES"
"2798","381291","TESCA SPAIN BARCELONA, S.L.U","0","2","6","","4.0000000000","YES"
"2798","392238","Fibertex Nonwovens, a.s.","0","3","16","","0.0000000000","YES"
"2798","393400","Coats Turkiye Iplik Sanayii ","0","4","59","","0.0000000000","YES"
"2798","393440","G?termann GmbH","0","2","55","","0.0000000000","YES"
"2798","393722","Bulten Polska SA","0","1","1","","0.0000000000","NO"
"2798","394033","Autostop Interiors D.O.O.","0","1","16","","0.0000000000","NO"
"2798","394112","Kolektor Mobility d o o","0","4","18","","3.0000000000","YES"
"2798","395103","Apollo s.r.l.","0","1","19","","0.0000000000","NO"
"2798","397548","LAMITEX D.O.O.","0","1","4","","0.0000000000","NO"
"2798","398287","Ultrafabrics EUROPE LTD","0","3","5","","0.0000000000","YES"
"2798","399980","SC Reinert Kunststofftechnik","0","1","3","","0.0000000000","NO"
"2798","401580","LA SOIE-NEYME SAS","0","2","3","","4.0000000000","YES"
"2798","401591","Coba Automotive Srl","0","1","7","","0.0000000000","NO"
"2798","402017","Kvadrat A/S","0","2","6","","4.0000000000","YES"
"2798","402512","Lear Corporation Poland II S","0","3","24","","0.0000000000","YES"
"2798","403383","TESCAP PORTUGAL, S.A.","0","2","2","","5.0000000000","YES"
"2798","403626","Nobel Gemlik Otomotiv Sanayi","0","1","8","","0.0000000000","NO"
"2798","405586","IDEAL Fastener Europe BV","0","1","3","","0.0000000000","NO"
"2798","405779","Quaker Houghton Sales B.V.","0","2","3","","0.0000000000","YES"
"2798","406921","Jahn GmbH & Co. KG","0","1","1","","7.0000000000","NO"
"2798","407170","FILMAR s.r.l.","0","1","1","","0.0000000000","NO"
"2798","407209","ORO PLASTIKA D.O.O.","0","3","23","","0.0000000000","YES"
"2798","407232","JP-AUTO,s. r. o.","0","1","2","","7.0000000000","NO"
"2798","407410","PPUH ANDRA Sp. z o. o.","0","1","1","","0.0000000000","NO"
"2798","407418","REFIMA s. r. o.","0","2","6","","0.0000000000","YES"
"2798","408306","Sage Automotive Interiors Ke","0","1","1","","14.0000000000","NO"
"2798","408957","Sage Automotive Interiors,","0","2","19","","0.0000000000","YES"
"2798","409321","Sage Automotive Interiors, R","0","1","11","","0.0000000000","NO"
"2798","409658","CX80 POLSKA A Nadera D Nader","0","1","1","","14.0000000000","NO"
"2798","409757","Tesca Tunisia Grombalia","0","2","3","","4.0000000000","YES"
"2798","409783","POLPLAST POLSKA SP Z OO","0","1","8","","7.0000000000","NO"
"2798","410993","ANGEL RUIZ IBA?EZ S.A. (Geop","0","1","1","","10.0000000000","NO"
"2798","411409","Benecke Changshun EcoTrim Ch","0","1","5","","0.0000000000","NO"
"2798","411483","Autins AB","0","1","2","","0.0000000000","NO"
"2798","411665","VRC d.o.o.","0","1","2","","7.0000000000","NO"
"2798","413015","Lear Automotive Interior Mat","0","1","2","","0.0000000000","NO"
"2798","414120","Wollsdorf Components d.o.o.","0","2","4","","5.0000000000","YES"
"2798","414405","UKS Stamping SRL","0","4","5","","0.0000000000","YES"
"2798","415458","S.C. GST SAFETY TEXTILES RO ","0","1","1","","0.0000000000","NO"
"2798","416257","Griffine Industries","0","2","4","","0.0000000000","YES"
"2798","416312","Samvardhana Motherson Intern","0","1","1","","0.0000000000","NO"
"2798","416381","SEIREN Hungary Kft.","0","1","10","","0.0000000000","NO"
"2798","418164","Tabiplast Sp z oo","0","1","10","","0.0000000000","NO"
"2798","418184","CGR Sarrebourg","0","1","1","","0.0000000000","NO"
"2798","418498","TYMPHANY ACOUSTIC TECHNOLOGY","0","1","1","","0.0000000000","NO"
"2798","418861","COBA Automotive (UK) Ltd.","0","1","16","","0.0000000000","NO"
"2798","419556","Dual Borgstena (Shanghai) Co","0","1","15","","0.0000000000","NO"
"2798","420401","GUANGZHOU GKI CAR","0","1","1","","0.0000000000","NO"
"2798","420510","ERT Group Automotive SRL","0","2","12","","0.0000000000","YES"
